buy_month	sell_month	pints_purchased	expected_profit
2025-01	2025-02	208281	-226605.56
2025-01	2025-03	204031	-320683.68
2025-01	2025-04	199952	-326068.92
2025-01	2025-05	196032	-388072.79
2025-01	2025-06	192263	-443616.11
2025-01	2025-07	188636	-460392.57
2025-01	2025-08	185144	-423261.4
2025-01	2025-09	181778	-408778.73
2025-01	2025-10	178533	-375854.81
2025-01	2025-11	175401	-305029.36
2025-01	2025-12	172378	-254975.68
2025-02	2025-03	225947	-247714.73
2025-02	2025-04	220955	-255277.27
2025-02	2025-05	216178	-325183.59
2025-02	2025-06	211604	-387645.83
2025-02	2025-07	207219	-407235.07
2025-02	2025-08	203012	-367597.89
2025-02	2025-09	198973	-352854.74
2025-02	2025-10	195091	-317967.12
2025-02	2025-11	191358	-241807.62
2025-02	2025-12	187765	-188472.12
2025-03	2025-04	250037	-157257.27
2025-03	2025-05	243938	-238532.33
2025-03	2025-06	238129	-310886.93
2025-03	2025-07	232590	-334659.8
2025-03	2025-08	227303	-291929.79
2025-03	2025-09	222251	-277142.55
2025-03	2025-10	217419	-239908.82
2025-03	2025-11	212793	-156879.51
2025-03	2025-12	208359	-99463.5
2025-04	2025-05	247221	-228283.87
2025-04	2025-06	241256	-301835.38
2025-04	2025-07	235573	-326127.26
2025-04	2025-08	230151	-283058.11
2025-04	2025-09	224973	-268289.3
2025-04	2025-10	220023	-230804.13
2025-04	2025-11	215287	-146997.96
2025-04	2025-12	210749	-89131.23
2025-05	2025-06	265364	-232071.43
2025-05	2025-07	258504	-260530.67
2025-05	2025-08	251990	-215028.11
2025-05	2025-09	245796	-200564.62
2025-05	2025-10	239900	-161318.36
2025-05	2025-11	234279	-71745.6
2025-05	2025-12	228916	-10613.92
2025-06	2025-07	284462	-186277.1
2025-06	2025-08	276594	-138385.51
2025-06	2025-09	269150	-124611.07
2025-06	2025-10	262095	-83723.63
2025-06	2025-11	255401	11942.55
2025-06	2025-12	249041	76364.44
2025-07	2025-08	287488	-104450.14
2025-07	2025-09	279454	-91096.41
2025-07	2025-10	271857	-49597.59
2025-07	2025-11	264662	48634.29
2025-07	2025-12	257838	114385.7
2025-08	2025-09	265872	-135270.36
2025-08	2025-10	258986	-94592.05
2025-08	2025-11	252448	242.35
2025-08	2025-12	246232	64225.68
2025-09	2025-10	255506	-106760.63
2025-09	2025-11	249140	-12865.59
2025-09	2025-12	243084	50618.35
2025-10	2025-11	238982	-53111.36
2025-10	2025-12	233404	8783.93
2025-11	2025-12	212657	-80887.49
